1.00000,0.00000
0.99590,0.00372
0.99280,0.00529
0.98903,0.00669
0.97989,0.00944
0.96352,0.01462
0.94455,0.02049
0.92350,0.02686
0.90075,0.03356
0.87658,0.04049
0.85123,0.04755
0.82489,0.05468
0.79774,0.06179
0.76991,0.06884
0.74154,0.07578
0.71275,0.08257
0.68365,0.08916
0.65434,0.09551
0.62492,0.10158
0.59547,0.10734
0.56607,0.11275
0.53680,0.11777
0.50774,0.12237
0.47895,0.12651
0.45050,0.13016
0.42246,0.13328
0.39488,0.13584
0.36782,0.13782
0.34135,0.13918
0.31551,0.13991
0.29035,0.13999
0.26594,0.13940
0.24231,0.13814
0.21951,0.13618
0.19760,0.13355
0.17661,0.13023
0.15660,0.12624
0.13760,0.12158
0.11965,0.11628
0.10280,0.11035
0.08709,0.10383
0.07256,0.09672
0.05924,0.08907
0.04717,0.08090
0.03639,0.07224
0.02694,0.06312
0.01885,0.05357
0.01215,0.04360
0.00688,0.03325
0.00308,0.02252
0.00078,0.01144
0.00000,0.00000
0.00078,-0.01144
0.00308,-0.02252
0.00688,-0.03325
0.01215,-0.04360
0.01885,-0.05357
0.02694,-0.06312
0.03639,-0.07224
0.04717,-0.08090
0.05924,-0.08907
0.07256,-0.09672
0.08709,-0.10383
0.10280,-0.11035
0.11965,-0.11628
0.13760,-0.12158
0.15660,-0.12624
0.17661,-0.13023
0.19760,-0.13355
0.21951,-0.13618
0.24231,-0.13814
0.26594,-0.13940
0.29035,-0.13999
0.31551,-0.13991
0.34135,-0.13918
0.36782,-0.13782
0.39488,-0.13584
0.42246,-0.13328
0.45050,-0.13016
0.47895,-0.12651
0.50774,-0.12237
0.53680,-0.11777
0.56607,-0.11275
0.59547,-0.10734
0.62492,-0.10158
0.65434,-0.09551
0.68365,-0.08916
0.71275,-0.08257
0.74154,-0.07578
0.76991,-0.06884
0.79774,-0.06179
0.82489,-0.05468
0.85123,-0.04755
0.87658,-0.04049
0.90075,-0.03356
0.92350,-0.02686
0.94455,-0.02049
0.96352,-0.01462
0.97989,-0.00944
0.98903,-0.00669
0.99280,-0.00529
0.99590,-0.00372
1.00000,0.00000
