1.00000,0.00000
0.99590,0.00292
0.99280,0.00415
0.98903,0.00525
0.97989,0.00742
0.96352,0.01149
0.94455,0.01610
0.92350,0.02110
0.90075,0.02637
0.87658,0.03181
0.85123,0.03736
0.82489,0.04296
0.79774,0.04855
0.76991,0.05409
0.74154,0.05955
0.71275,0.06488
0.68365,0.07005
0.65434,0.07504
0.62492,0.07982
0.59547,0.08434
0.56607,0.08859
0.53680,0.09254
0.50774,0.09615
0.47895,0.09940
0.45050,0.10227
0.42246,0.10472
0.39488,0.10673
0.36782,0.10828
0.34135,0.10936
0.31551,0.10993
0.29035,0.10999
0.26594,0.10953
0.24231,0.10854
0.21951,0.10700
0.19760,0.10493
0.17661,0.10232
0.15660,0.09918
0.13760,0.09553
0.11965,0.09136
0.10280,0.08671
0.08709,0.08158
0.07256,0.07600
0.05924,0.06998
0.04717,0.06356
0.03639,0.05676
0.02694,0.04959
0.01885,0.04209
0.01422,0.03690
0.01215,0.03426
0.01023,0.03158
0.00848,0.02887
0.00688,0.02612
0.00545,0.02335
0.00418,0.02054
0.00308,0.01770
0.00214,0.01483
0.00138,0.01193
0.00078,0.00899
0.00035,0.00601
0.00009,0.00301
0.00000,0.00000
0.00009,-0.00301
0.00035,-0.00601
0.00078,-0.00899
0.00138,-0.01193
0.00214,-0.01483
0.00308,-0.01770
0.00418,-0.02054
0.00545,-0.02335
0.00688,-0.02612
0.00848,-0.02887
0.01023,-0.03158
0.01215,-0.03426
0.01422,-0.03690
0.01885,-0.04209
0.02694,-0.04959
0.03639,-0.05676
0.04717,-0.06356
0.05924,-0.06998
0.07256,-0.07600
0.08709,-0.08158
0.10280,-0.08671
0.11965,-0.09136
0.13760,-0.09553
0.15660,-0.09918
0.17661,-0.10232
0.19760,-0.10493
0.21951,-0.10700
0.24231,-0.10854
0.26594,-0.10953
0.29035,-0.10999
0.31551,-0.10993
0.34135,-0.10936
0.36782,-0.10828
0.39488,-0.10673
0.42246,-0.10472
0.45050,-0.10227
0.47895,-0.09940
0.50774,-0.09615
0.53680,-0.09254
0.56607,-0.08859
0.59547,-0.08434
0.62492,-0.07982
0.65434,-0.07504
0.68365,-0.07005
0.71275,-0.06488
0.74154,-0.05955
0.76991,-0.05409
0.79774,-0.04855
0.82489,-0.04296
0.85123,-0.03736
0.87658,-0.03181
0.90075,-0.02637
0.92350,-0.02110
0.94455,-0.01610
0.96352,-0.01149
0.97989,-0.00742
0.98903,-0.00525
0.99280,-0.00415
0.99590,-0.00292
1.00000,0.00000
